numeric_id_1,numeric_id_2
145281,98343
145281,58736
145281,157118
145281,125430
145281,89631
145281,16783
145281,87516
145281,106969
144898,141493
144898,155127
24321,141493
24321,30520
10372,98343
10372,141493
10372,58736
10372,157118
10372,125430
10372,3635
10372,123861
10372,89631
10372,3181
10372,155127
10372,54230
10372,66893
10372,30520
134405,141493
113417,98343
113417,123861
113417,65788
113417,64605
113417,50129
113417,150905
113417,59892
113417,143081
62841,141493
75403,98343
75403,124827
75403,16783
75403,103123
75403,159097
17293,141493
17293,95914
17293,64605
1679,98343
1679,58736
1679,157118
1679,125430
1679,495
1679,91680
1679,60384
1679,87516
1679,89631
1679,54230
1679,123861
1679,66893
1679,95697
1679,106969
16783,98343
16783,36837
16783,64605
16783,103123
16783,159097
16783,30520
157585,141493
157585,95914
17048,141493
17048,95914
17048,59892
17048,64605
79768,141493
79768,155127
79768,124827
79768,143081
8216,141493
124827,98343
124827,116648
124827,36837
124827,50129
124827,105333
124827,159097
122269,98343
122269,116648
122269,95914
122269,64605
122269,37182
89631,98343
89631,141493
89631,58736
89631,140703
89631,151401
89631,157118
89631,125430
89631,3635
89631,495
89631,116648
89631,123861
89631,87516
89631,90148
89631,90697
89631,54230
89631,78899
89631,95914
89631,106969
89631,3181
89631,155127
89631,66893
140703,98343
140703,58736
140703,54230
140703,157118
140703,151401
140703,125430
140703,106969
91680,141493
91680,64605
90148,98343
90148,141493
90148,58736
90148,157118
90148,125430
90148,87516
90148,106969
90148,66893
90148,143081
90148,44326
90148,64605
90148,54230
90148,78899
44326,98343
44326,125430
44326,495
44326,66893
44326,78899
98343,141493
98343,58736
98343,151401
98343,157118
98343,125430
98343,3635
98343,495
98343,116648
98343,123861
98343,10408
98343,3181
98343,40675
98343,95914
98343,155127
98343,87516
98343,106969
98343,66893
98343,143081
98343,95697
98343,48850
98343,59892
98343,159097
98343,63150
98343,78899
98343,30520
98343,54230
98343,90697
116648,141493
116648,495
116648,36837
116648,30061
116648,1966
116648,65788
116648,64605
116648,50129
116648,134952
116648,30520
116648,159097
116648,155127
95914,495
95914,36837
95914,1966
95914,65788
95914,50129
95914,150905
95914,87516
95914,159097
84392,141493
84392,30520
134952,141493
83757,141493
63150,106969
1966,141493
1966,143081
1966,95697
3635,58736
3635,157118
3635,125430
3635,105041
3635,87516
3635,54230
3635,159097
3635,155127
3635,66893
3635,95697
78899,141493
78899,58736
78899,157118
78899,125430
78899,123861
78899,155127
78899,87516
78899,66893
78899,30061
78899,109678
78899,54230
78899,90697
141493,36837
141493,30061
141493,54013
141493,105041
141493,80986
141493,87129
141493,151230
141493,65788
141493,64605
141493,141930
141493,109678
141493,37182
141493,103123
141493,66786
141493,87479
141493,50129
141493,50511
141493,108538
141493,105333
141493,60384
141493,150905
141493,30520
141493,495
141493,106969
141493,123861
141493,54230
141493,151401
141493,90697
141493,66893
141493,157118
141493,125430
141493,95697
30520,157118
30520,125430
30520,40675
30520,155127
30520,106969
30520,66893
30520,143081
30520,59892
30520,30061
30520,151230
30520,64605
157118,58736
157118,151401
157118,87516
157118,54230
157118,90697
157118,3181
157118,106969
157118,66893
157118,125430
151230,64605
37182,64605
90697,125430
90697,3181
90697,155127
90697,54230
150905,155127
66893,58736
66893,151401
66893,125430
66893,495
66893,123861
66893,87516
66893,106969
66893,105041
66893,54230
66893,95697
95697,125430
95697,155127
95697,87516
95697,106969
95697,64605
95697,54230
48850,64605
105041,40675
123861,125430
123861,87516
123861,54230
123861,106969
54230,58736
54230,151401
54230,125430
54230,495
54230,87516
50129,40675
50129,159097
50129,64605
106969,58736
106969,125430
106969,87516
80986,155127
87129,59892
87129,64605
87516,58736
87516,155127
64605,3181
64605,155127
64605,36837
64605,65788
64605,105333
64605,60384
60384,143081
40675,495
36837,155127
36837,143081
151401,58736
151401,125430
143081,65788
143081,59892
141930,155127
3181,125430
3181,159097
30061,155127
30061,59892
495,125430
58736,125430
59892,65788
155127,159097
