views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
7048,0,1990,2013-05-01,2018-10-12,495,0,EN,1
278129,0,1748,2013-12-29,2018-10-12,3635,0,EN,0
72048,0,2104,2013-01-07,2018-10-12,58736,0,EN,1
282,0,2086,2012-12-27,2018-09-13,98343,0,EN,0
23934820,0,3170,2010-02-06,2018-10-12,116648,0,EN,0
3528066,0,4061,2007-08-30,2018-10-12,125430,0,EN,0
13949,1,2408,2012-03-09,2018-10-12,140703,0,EN,1
42340657,0,3894,2008-02-13,2018-10-12,141493,0,EN,0
36301,1,1549,2014-07-16,2018-10-12,151401,0,EN,0
1197884,1,4002,2007-10-28,2018-10-12,157118,0,EN,0
