views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
7048,0,1990,2013-05-01,2018-10-12,495,0,EN,1
56645,1,1774,2013-11-30,2018-10-09,1679,0,EN,1
2496926,0,1911,2013-07-19,2018-10-12,3181,0,EN,0
278129,0,1748,2013-12-29,2018-10-12,3635,0,EN,0
57349,0,949,2016-03-07,2018-10-12,10408,0,EN,1
1604600,1,3474,2009-04-08,2018-10-12,40675,0,EN,0
72048,0,2104,2013-01-07,2018-10-12,58736,0,EN,1
35163,1,2455,2012-01-22,2018-10-12,89631,0,EN,1
8937266,1,1894,2013-08-05,2018-10-12,95914,0,EN,0
282,0,2086,2012-12-27,2018-09-13,98343,0,EN,0
103871823,0,2974,2010-08-21,2018-10-12,113417,0,EN,0
23934820,0,3170,2010-02-06,2018-10-12,116648,0,EN,0
43385,1,2350,2012-05-06,2018-10-12,123861,0,EN,1
3528066,0,4061,2007-08-30,2018-10-12,125430,0,EN,0
13949,1,2408,2012-03-09,2018-10-12,140703,0,EN,1
42340657,0,3894,2008-02-13,2018-10-12,141493,0,EN,0
64698,1,757,2016-09-15,2018-10-12,145281,0,EN,1
36301,1,1549,2014-07-16,2018-10-12,151401,0,EN,0
18896216,0,1080,2015-10-28,2018-10-12,155127,0,EN,0
1197884,1,4002,2007-10-28,2018-10-12,157118,0,EN,0
